CHANNEL_ID,rtl_channel,requested_phase,calibration_phase,enabled,effective_phase
UPPER_TX_00,0,143,0,1,143
UPPER_TX_01,1,52,0,1,52
UPPER_TX_02,2,169,0,1,169
UPPER_TX_03,3,230,0,1,230
UPPER_TX_04,4,230,0,1,230
UPPER_TX_05,5,169,0,1,169
UPPER_TX_06,6,52,0,1,52
UPPER_TX_07,7,143,0,1,143
UPPER_TX_08,8,52,0,1,52
UPPER_TX_09,9,230,0,1,230
UPPER_TX_10,10,102,0,1,102
UPPER_TX_11,11,169,0,1,169
UPPER_TX_12,12,169,0,1,169
UPPER_TX_13,13,102,0,1,102
UPPER_TX_14,14,230,0,1,230
UPPER_TX_15,15,52,0,1,52
UPPER_TX_16,16,169,0,1,169
UPPER_TX_17,17,102,0,1,102
UPPER_TX_18,18,239,0,1,239
UPPER_TX_19,19,55,0,1,55
UPPER_TX_20,20,55,0,1,55
UPPER_TX_21,21,239,0,1,239
UPPER_TX_22,22,102,0,1,102
UPPER_TX_23,23,169,0,1,169
UPPER_TX_24,24,230,0,1,230
UPPER_TX_25,25,169,0,1,169
UPPER_TX_26,26,55,0,1,55
UPPER_TX_27,27,131,0,1,131
UPPER_TX_28,28,131,0,1,131
UPPER_TX_29,29,55,0,1,55
UPPER_TX_30,30,169,0,1,169
UPPER_TX_31,31,230,0,1,230
UPPER_TX_32,32,230,0,1,230
UPPER_TX_33,33,169,0,1,169
UPPER_TX_34,34,55,0,1,55
UPPER_TX_35,35,131,0,1,131
UPPER_TX_36,36,131,0,1,131
UPPER_TX_37,37,55,0,1,55
UPPER_TX_38,38,169,0,1,169
UPPER_TX_39,39,230,0,1,230
UPPER_TX_40,40,169,0,1,169
UPPER_TX_41,41,102,0,1,102
UPPER_TX_42,42,239,0,1,239
UPPER_TX_43,43,55,0,1,55
UPPER_TX_44,44,55,0,1,55
UPPER_TX_45,45,239,0,1,239
UPPER_TX_46,46,102,0,1,102
UPPER_TX_47,47,169,0,1,169
UPPER_TX_48,48,52,0,1,52
UPPER_TX_49,49,230,0,1,230
UPPER_TX_50,50,102,0,1,102
UPPER_TX_51,51,169,0,1,169
UPPER_TX_52,52,169,0,1,169
UPPER_TX_53,53,102,0,1,102
UPPER_TX_54,54,230,0,1,230
UPPER_TX_55,55,52,0,1,52
UPPER_TX_56,56,143,0,1,143
UPPER_TX_57,57,52,0,1,52
UPPER_TX_58,58,169,0,1,169
UPPER_TX_59,59,230,0,1,230
UPPER_TX_60,60,230,0,1,230
UPPER_TX_61,61,169,0,1,169
UPPER_TX_62,62,52,0,1,52
UPPER_TX_63,63,143,0,1,143
LOWER_TX_00,64,143,0,1,143
LOWER_TX_01,65,52,0,1,52
LOWER_TX_02,66,169,0,1,169
LOWER_TX_03,67,230,0,1,230
LOWER_TX_04,68,230,0,1,230
LOWER_TX_05,69,169,0,1,169
LOWER_TX_06,70,52,0,1,52
LOWER_TX_07,71,143,0,1,143
LOWER_TX_08,72,52,0,1,52
LOWER_TX_09,73,230,0,1,230
LOWER_TX_10,74,102,0,1,102
LOWER_TX_11,75,169,0,1,169
LOWER_TX_12,76,169,0,1,169
LOWER_TX_13,77,102,0,1,102
LOWER_TX_14,78,230,0,1,230
LOWER_TX_15,79,52,0,1,52
LOWER_TX_16,80,169,0,1,169
LOWER_TX_17,81,102,0,1,102
LOWER_TX_18,82,239,0,1,239
LOWER_TX_19,83,55,0,1,55
LOWER_TX_20,84,55,0,1,55
LOWER_TX_21,85,239,0,1,239
LOWER_TX_22,86,102,0,1,102
LOWER_TX_23,87,169,0,1,169
LOWER_TX_24,88,230,0,1,230
LOWER_TX_25,89,169,0,1,169
LOWER_TX_26,90,55,0,1,55
LOWER_TX_27,91,131,0,1,131
LOWER_TX_28,92,131,0,1,131
LOWER_TX_29,93,55,0,1,55
LOWER_TX_30,94,169,0,1,169
LOWER_TX_31,95,230,0,1,230
LOWER_TX_32,96,230,0,1,230
LOWER_TX_33,97,169,0,1,169
LOWER_TX_34,98,55,0,1,55
LOWER_TX_35,99,131,0,1,131
LOWER_TX_36,100,131,0,1,131
LOWER_TX_37,101,55,0,1,55
LOWER_TX_38,102,169,0,1,169
LOWER_TX_39,103,230,0,1,230
LOWER_TX_40,104,169,0,1,169
LOWER_TX_41,105,102,0,1,102
LOWER_TX_42,106,239,0,1,239
LOWER_TX_43,107,55,0,1,55
LOWER_TX_44,108,55,0,1,55
LOWER_TX_45,109,239,0,1,239
LOWER_TX_46,110,102,0,1,102
LOWER_TX_47,111,169,0,1,169
LOWER_TX_48,112,52,0,1,52
LOWER_TX_49,113,230,0,1,230
LOWER_TX_50,114,102,0,1,102
LOWER_TX_51,115,169,0,1,169
LOWER_TX_52,116,169,0,1,169
LOWER_TX_53,117,102,0,1,102
LOWER_TX_54,118,230,0,1,230
LOWER_TX_55,119,52,0,1,52
LOWER_TX_56,120,143,0,1,143
LOWER_TX_57,121,52,0,1,52
LOWER_TX_58,122,169,0,1,169
LOWER_TX_59,123,230,0,1,230
LOWER_TX_60,124,230,0,1,230
LOWER_TX_61,125,169,0,1,169
LOWER_TX_62,126,52,0,1,52
LOWER_TX_63,127,143,0,1,143
