classification,shape,emitters,gap_m,central_focus_pressure_au,center_node_pressure_au,proxy_center_U,proxy_min_hessian_eigenvalue,coarse_connected_basin_mm3,proxy_grid_step_mm,proxy_escape_threshold
SIMULATION_ESTIMATE,planar,72,0.12,227.9537333552879,9.791804693670259e-14,-68124.9118165876,4435000092.260281,89,1,-27875.911361464387
SIMULATION_ESTIMATE,planar,72,0.16,308.4549753056733,4.4385390932551043e-13,-123211.63731831295,8514569417.290474,69,1,-52975.95374722608
SIMULATION_ESTIMATE,planar,72,0.2,342.10936431230414,5.522190945113886e-13,-155527.45644582197,9151380726.64729,101,1,-55379.816422795906
SIMULATION_ESTIMATE,concave,72,0.12,518.7877847725789,5.269580681429208e-14,-291773.60652743763,38544762974.25524,25,1,-161662.54477020327
SIMULATION_ESTIMATE,concave,72,0.16,607.031059369081,7.683900484623193e-13,-433037.1072710005,46896899513.41079,21,1,-279656.89759491564
SIMULATION_ESTIMATE,concave,72,0.2,599.4689435452818,3.866345575285408e-14,-451717.51587535936,37668031134.9468,45,1,-257095.28771899056
