mass_mg,diameter_mm,density_kg_m3,geometry,weight_newton,ka,measured,classification,levitation_guaranteed,rayleigh_small_particle_assumption
1,4.570781497340834,19.999999999999982,sphere,9.806649999999999e-06,1.6745811747183812,False,SIMULATION_ESTIMATE,False,False
5,7.815926417967722,19.999999999999986,sphere,4.9033249999999993e-05,2.863493529526039,False,SIMULATION_ESTIMATE,False,False
10,9.847450218426967,19.999999999999982,sphere,9.806649999999999e-05,3.607775774087623,False,SIMULATION_ESTIMATE,False,False
25,13.36504617571976,19.99999999999999,sphere,0.00024516625,4.896505058953885,False,SIMULATION_ESTIMATE,False,False
50,16.8389030096063,19.999999999999986,sphere,0.0004903325,6.169209794692736,False,SIMULATION_ESTIMATE,False,False
