CHANNEL_ID,rtl_channel,requested_phase,calibration_phase,enabled,effective_phase
UPPER_TX_00,0,242,0,1,242
UPPER_TX_01,1,159,0,1,159
UPPER_TX_02,2,26,0,1,26
UPPER_TX_03,3,90,0,1,90
UPPER_TX_04,4,90,0,1,90
UPPER_TX_05,5,26,0,1,26
UPPER_TX_06,6,159,0,1,159
UPPER_TX_07,7,242,0,1,242
UPPER_TX_08,8,159,0,1,159
UPPER_TX_09,9,90,0,1,90
UPPER_TX_10,10,226,0,1,226
UPPER_TX_11,11,42,0,1,42
UPPER_TX_12,12,42,0,1,42
UPPER_TX_13,13,226,0,1,226
UPPER_TX_14,14,90,0,1,90
UPPER_TX_15,15,159,0,1,159
UPPER_TX_16,16,26,0,1,26
UPPER_TX_17,17,226,0,1,226
UPPER_TX_18,18,117,0,1,117
UPPER_TX_19,19,195,0,1,195
UPPER_TX_20,20,195,0,1,195
UPPER_TX_21,21,117,0,1,117
UPPER_TX_22,22,226,0,1,226
UPPER_TX_23,23,26,0,1,26
UPPER_TX_24,24,90,0,1,90
UPPER_TX_25,25,42,0,1,42
UPPER_TX_26,26,195,0,1,195
UPPER_TX_27,27,22,0,1,22
UPPER_TX_28,28,22,0,1,22
UPPER_TX_29,29,195,0,1,195
UPPER_TX_30,30,42,0,1,42
UPPER_TX_31,31,90,0,1,90
UPPER_TX_32,32,90,0,1,90
UPPER_TX_33,33,42,0,1,42
UPPER_TX_34,34,195,0,1,195
UPPER_TX_35,35,22,0,1,22
UPPER_TX_36,36,22,0,1,22
UPPER_TX_37,37,195,0,1,195
UPPER_TX_38,38,42,0,1,42
UPPER_TX_39,39,90,0,1,90
UPPER_TX_40,40,26,0,1,26
UPPER_TX_41,41,226,0,1,226
UPPER_TX_42,42,117,0,1,117
UPPER_TX_43,43,195,0,1,195
UPPER_TX_44,44,195,0,1,195
UPPER_TX_45,45,117,0,1,117
UPPER_TX_46,46,226,0,1,226
UPPER_TX_47,47,26,0,1,26
UPPER_TX_48,48,159,0,1,159
UPPER_TX_49,49,90,0,1,90
UPPER_TX_50,50,226,0,1,226
UPPER_TX_51,51,42,0,1,42
UPPER_TX_52,52,42,0,1,42
UPPER_TX_53,53,226,0,1,226
UPPER_TX_54,54,90,0,1,90
UPPER_TX_55,55,159,0,1,159
UPPER_TX_56,56,242,0,1,242
UPPER_TX_57,57,159,0,1,159
UPPER_TX_58,58,26,0,1,26
UPPER_TX_59,59,90,0,1,90
UPPER_TX_60,60,90,0,1,90
UPPER_TX_61,61,26,0,1,26
UPPER_TX_62,62,159,0,1,159
UPPER_TX_63,63,242,0,1,242
LOWER_TX_00,64,114,0,1,114
LOWER_TX_01,65,31,0,1,31
LOWER_TX_02,66,154,0,1,154
LOWER_TX_03,67,218,0,1,218
LOWER_TX_04,68,218,0,1,218
LOWER_TX_05,69,154,0,1,154
LOWER_TX_06,70,31,0,1,31
LOWER_TX_07,71,114,0,1,114
LOWER_TX_08,72,31,0,1,31
LOWER_TX_09,73,218,0,1,218
LOWER_TX_10,74,98,0,1,98
LOWER_TX_11,75,170,0,1,170
LOWER_TX_12,76,170,0,1,170
LOWER_TX_13,77,98,0,1,98
LOWER_TX_14,78,218,0,1,218
LOWER_TX_15,79,31,0,1,31
LOWER_TX_16,80,154,0,1,154
LOWER_TX_17,81,98,0,1,98
LOWER_TX_18,82,245,0,1,245
LOWER_TX_19,83,67,0,1,67
LOWER_TX_20,84,67,0,1,67
LOWER_TX_21,85,245,0,1,245
LOWER_TX_22,86,98,0,1,98
LOWER_TX_23,87,154,0,1,154
LOWER_TX_24,88,218,0,1,218
LOWER_TX_25,89,170,0,1,170
LOWER_TX_26,90,67,0,1,67
LOWER_TX_27,91,150,0,1,150
LOWER_TX_28,92,150,0,1,150
LOWER_TX_29,93,67,0,1,67
LOWER_TX_30,94,170,0,1,170
LOWER_TX_31,95,218,0,1,218
LOWER_TX_32,96,218,0,1,218
LOWER_TX_33,97,170,0,1,170
LOWER_TX_34,98,67,0,1,67
LOWER_TX_35,99,150,0,1,150
LOWER_TX_36,100,150,0,1,150
LOWER_TX_37,101,67,0,1,67
LOWER_TX_38,102,170,0,1,170
LOWER_TX_39,103,218,0,1,218
LOWER_TX_40,104,154,0,1,154
LOWER_TX_41,105,98,0,1,98
LOWER_TX_42,106,245,0,1,245
LOWER_TX_43,107,67,0,1,67
LOWER_TX_44,108,67,0,1,67
LOWER_TX_45,109,245,0,1,245
LOWER_TX_46,110,98,0,1,98
LOWER_TX_47,111,154,0,1,154
LOWER_TX_48,112,31,0,1,31
LOWER_TX_49,113,218,0,1,218
LOWER_TX_50,114,98,0,1,98
LOWER_TX_51,115,170,0,1,170
LOWER_TX_52,116,170,0,1,170
LOWER_TX_53,117,98,0,1,98
LOWER_TX_54,118,218,0,1,218
LOWER_TX_55,119,31,0,1,31
LOWER_TX_56,120,114,0,1,114
LOWER_TX_57,121,31,0,1,31
LOWER_TX_58,122,154,0,1,154
LOWER_TX_59,123,218,0,1,218
LOWER_TX_60,124,218,0,1,218
LOWER_TX_61,125,154,0,1,154
LOWER_TX_62,126,31,0,1,31
LOWER_TX_63,127,114,0,1,114
