CHANNEL_ID,rtl_channel,requested_phase,calibration_phase,enabled,effective_phase
UPPER_TX_00,0,79,0,1,79
UPPER_TX_01,1,4,0,1,4
UPPER_TX_02,2,133,0,1,133
UPPER_TX_03,3,202,0,1,202
UPPER_TX_04,4,202,0,1,202
UPPER_TX_05,5,133,0,1,133
UPPER_TX_06,6,4,0,1,4
UPPER_TX_07,7,79,0,1,79
UPPER_TX_08,8,4,0,1,4
UPPER_TX_09,9,202,0,1,202
UPPER_TX_10,10,90,0,1,90
UPPER_TX_11,11,167,0,1,167
UPPER_TX_12,12,167,0,1,167
UPPER_TX_13,13,90,0,1,90
UPPER_TX_14,14,202,0,1,202
UPPER_TX_15,15,4,0,1,4
UPPER_TX_16,16,133,0,1,133
UPPER_TX_17,17,90,0,1,90
UPPER_TX_18,18,249,0,1,249
UPPER_TX_19,19,78,0,1,78
UPPER_TX_20,20,78,0,1,78
UPPER_TX_21,21,249,0,1,249
UPPER_TX_22,22,90,0,1,90
UPPER_TX_23,23,133,0,1,133
UPPER_TX_24,24,202,0,1,202
UPPER_TX_25,25,167,0,1,167
UPPER_TX_26,26,78,0,1,78
UPPER_TX_27,27,169,0,1,169
UPPER_TX_28,28,169,0,1,169
UPPER_TX_29,29,78,0,1,78
UPPER_TX_30,30,167,0,1,167
UPPER_TX_31,31,202,0,1,202
UPPER_TX_32,32,202,0,1,202
UPPER_TX_33,33,167,0,1,167
UPPER_TX_34,34,78,0,1,78
UPPER_TX_35,35,169,0,1,169
UPPER_TX_36,36,169,0,1,169
UPPER_TX_37,37,78,0,1,78
UPPER_TX_38,38,167,0,1,167
UPPER_TX_39,39,202,0,1,202
UPPER_TX_40,40,133,0,1,133
UPPER_TX_41,41,90,0,1,90
UPPER_TX_42,42,249,0,1,249
UPPER_TX_43,43,78,0,1,78
UPPER_TX_44,44,78,0,1,78
UPPER_TX_45,45,249,0,1,249
UPPER_TX_46,46,90,0,1,90
UPPER_TX_47,47,133,0,1,133
UPPER_TX_48,48,4,0,1,4
UPPER_TX_49,49,202,0,1,202
UPPER_TX_50,50,90,0,1,90
UPPER_TX_51,51,167,0,1,167
UPPER_TX_52,52,167,0,1,167
UPPER_TX_53,53,90,0,1,90
UPPER_TX_54,54,202,0,1,202
UPPER_TX_55,55,4,0,1,4
UPPER_TX_56,56,79,0,1,79
UPPER_TX_57,57,4,0,1,4
UPPER_TX_58,58,133,0,1,133
UPPER_TX_59,59,202,0,1,202
UPPER_TX_60,60,202,0,1,202
UPPER_TX_61,61,133,0,1,133
UPPER_TX_62,62,4,0,1,4
UPPER_TX_63,63,79,0,1,79
LOWER_TX_00,64,207,0,1,207
LOWER_TX_01,65,132,0,1,132
LOWER_TX_02,66,5,0,1,5
LOWER_TX_03,67,74,0,1,74
LOWER_TX_04,68,74,0,1,74
LOWER_TX_05,69,5,0,1,5
LOWER_TX_06,70,132,0,1,132
LOWER_TX_07,71,207,0,1,207
LOWER_TX_08,72,132,0,1,132
LOWER_TX_09,73,74,0,1,74
LOWER_TX_10,74,218,0,1,218
LOWER_TX_11,75,39,0,1,39
LOWER_TX_12,76,39,0,1,39
LOWER_TX_13,77,218,0,1,218
LOWER_TX_14,78,74,0,1,74
LOWER_TX_15,79,132,0,1,132
LOWER_TX_16,80,5,0,1,5
LOWER_TX_17,81,218,0,1,218
LOWER_TX_18,82,121,0,1,121
LOWER_TX_19,83,206,0,1,206
LOWER_TX_20,84,206,0,1,206
LOWER_TX_21,85,121,0,1,121
LOWER_TX_22,86,218,0,1,218
LOWER_TX_23,87,5,0,1,5
LOWER_TX_24,88,74,0,1,74
LOWER_TX_25,89,39,0,1,39
LOWER_TX_26,90,206,0,1,206
LOWER_TX_27,91,41,0,1,41
LOWER_TX_28,92,41,0,1,41
LOWER_TX_29,93,206,0,1,206
LOWER_TX_30,94,39,0,1,39
LOWER_TX_31,95,74,0,1,74
LOWER_TX_32,96,74,0,1,74
LOWER_TX_33,97,39,0,1,39
LOWER_TX_34,98,206,0,1,206
LOWER_TX_35,99,41,0,1,41
LOWER_TX_36,100,41,0,1,41
LOWER_TX_37,101,206,0,1,206
LOWER_TX_38,102,39,0,1,39
LOWER_TX_39,103,74,0,1,74
LOWER_TX_40,104,5,0,1,5
LOWER_TX_41,105,218,0,1,218
LOWER_TX_42,106,121,0,1,121
LOWER_TX_43,107,206,0,1,206
LOWER_TX_44,108,206,0,1,206
LOWER_TX_45,109,121,0,1,121
LOWER_TX_46,110,218,0,1,218
LOWER_TX_47,111,5,0,1,5
LOWER_TX_48,112,132,0,1,132
LOWER_TX_49,113,74,0,1,74
LOWER_TX_50,114,218,0,1,218
LOWER_TX_51,115,39,0,1,39
LOWER_TX_52,116,39,0,1,39
LOWER_TX_53,117,218,0,1,218
LOWER_TX_54,118,74,0,1,74
LOWER_TX_55,119,132,0,1,132
LOWER_TX_56,120,207,0,1,207
LOWER_TX_57,121,132,0,1,132
LOWER_TX_58,122,5,0,1,5
LOWER_TX_59,123,74,0,1,74
LOWER_TX_60,124,74,0,1,74
LOWER_TX_61,125,5,0,1,5
LOWER_TX_62,126,132,0,1,132
LOWER_TX_63,127,207,0,1,207
