CHANNEL_ID,rtl_channel,requested_phase,calibration_phase,enabled,effective_phase
UPPER_TX_00,0,143,0,1,143
UPPER_TX_01,1,52,0,1,52
UPPER_TX_02,2,169,0,1,169
UPPER_TX_03,3,230,0,1,230
UPPER_TX_04,4,230,0,1,230
UPPER_TX_05,5,169,0,1,169
UPPER_TX_06,6,52,0,1,52
UPPER_TX_07,7,143,0,1,143
UPPER_TX_08,8,52,0,1,52
UPPER_TX_09,9,230,0,1,230
UPPER_TX_10,10,102,0,1,102
UPPER_TX_11,11,169,0,1,169
UPPER_TX_12,12,169,0,1,169
UPPER_TX_13,13,102,0,1,102
UPPER_TX_14,14,230,0,1,230
UPPER_TX_15,15,52,0,1,52
UPPER_TX_16,16,169,0,1,169
UPPER_TX_17,17,102,0,1,102
UPPER_TX_18,18,239,0,1,239
UPPER_TX_19,19,55,0,1,55
UPPER_TX_20,20,55,0,1,55
UPPER_TX_21,21,239,0,1,239
UPPER_TX_22,22,102,0,1,102
UPPER_TX_23,23,169,0,1,169
UPPER_TX_24,24,230,0,1,230
UPPER_TX_25,25,169,0,1,169
UPPER_TX_26,26,55,0,1,55
UPPER_TX_27,27,131,0,1,131
UPPER_TX_28,28,131,0,1,131
UPPER_TX_29,29,55,0,1,55
UPPER_TX_30,30,169,0,1,169
UPPER_TX_31,31,230,0,1,230
UPPER_TX_32,32,230,0,1,230
UPPER_TX_33,33,169,0,1,169
UPPER_TX_34,34,55,0,1,55
UPPER_TX_35,35,131,0,1,131
UPPER_TX_36,36,131,0,1,131
UPPER_TX_37,37,55,0,1,55
UPPER_TX_38,38,169,0,1,169
UPPER_TX_39,39,230,0,1,230
UPPER_TX_40,40,169,0,1,169
UPPER_TX_41,41,102,0,1,102
UPPER_TX_42,42,239,0,1,239
UPPER_TX_43,43,55,0,1,55
UPPER_TX_44,44,55,0,1,55
UPPER_TX_45,45,239,0,1,239
UPPER_TX_46,46,102,0,1,102
UPPER_TX_47,47,169,0,1,169
UPPER_TX_48,48,52,0,1,52
UPPER_TX_49,49,230,0,1,230
UPPER_TX_50,50,102,0,1,102
UPPER_TX_51,51,169,0,1,169
UPPER_TX_52,52,169,0,1,169
UPPER_TX_53,53,102,0,1,102
UPPER_TX_54,54,230,0,1,230
UPPER_TX_55,55,52,0,1,52
UPPER_TX_56,56,143,0,1,143
UPPER_TX_57,57,52,0,1,52
UPPER_TX_58,58,169,0,1,169
UPPER_TX_59,59,230,0,1,230
UPPER_TX_60,60,230,0,1,230
UPPER_TX_61,61,169,0,1,169
UPPER_TX_62,62,52,0,1,52
UPPER_TX_63,63,143,0,1,143
LOWER_TX_00,64,15,0,1,15
LOWER_TX_01,65,180,0,1,180
LOWER_TX_02,66,41,0,1,41
LOWER_TX_03,67,102,0,1,102
LOWER_TX_04,68,102,0,1,102
LOWER_TX_05,69,41,0,1,41
LOWER_TX_06,70,180,0,1,180
LOWER_TX_07,71,15,0,1,15
LOWER_TX_08,72,180,0,1,180
LOWER_TX_09,73,102,0,1,102
LOWER_TX_10,74,230,0,1,230
LOWER_TX_11,75,41,0,1,41
LOWER_TX_12,76,41,0,1,41
LOWER_TX_13,77,230,0,1,230
LOWER_TX_14,78,102,0,1,102
LOWER_TX_15,79,180,0,1,180
LOWER_TX_16,80,41,0,1,41
LOWER_TX_17,81,230,0,1,230
LOWER_TX_18,82,111,0,1,111
LOWER_TX_19,83,183,0,1,183
LOWER_TX_20,84,183,0,1,183
LOWER_TX_21,85,111,0,1,111
LOWER_TX_22,86,230,0,1,230
LOWER_TX_23,87,41,0,1,41
LOWER_TX_24,88,102,0,1,102
LOWER_TX_25,89,41,0,1,41
LOWER_TX_26,90,183,0,1,183
LOWER_TX_27,91,3,0,1,3
LOWER_TX_28,92,3,0,1,3
LOWER_TX_29,93,183,0,1,183
LOWER_TX_30,94,41,0,1,41
LOWER_TX_31,95,102,0,1,102
LOWER_TX_32,96,102,0,1,102
LOWER_TX_33,97,41,0,1,41
LOWER_TX_34,98,183,0,1,183
LOWER_TX_35,99,3,0,1,3
LOWER_TX_36,100,3,0,1,3
LOWER_TX_37,101,183,0,1,183
LOWER_TX_38,102,41,0,1,41
LOWER_TX_39,103,102,0,1,102
LOWER_TX_40,104,41,0,1,41
LOWER_TX_41,105,230,0,1,230
LOWER_TX_42,106,111,0,1,111
LOWER_TX_43,107,183,0,1,183
LOWER_TX_44,108,183,0,1,183
LOWER_TX_45,109,111,0,1,111
LOWER_TX_46,110,230,0,1,230
LOWER_TX_47,111,41,0,1,41
LOWER_TX_48,112,180,0,1,180
LOWER_TX_49,113,102,0,1,102
LOWER_TX_50,114,230,0,1,230
LOWER_TX_51,115,41,0,1,41
LOWER_TX_52,116,41,0,1,41
LOWER_TX_53,117,230,0,1,230
LOWER_TX_54,118,102,0,1,102
LOWER_TX_55,119,180,0,1,180
LOWER_TX_56,120,15,0,1,15
LOWER_TX_57,121,180,0,1,180
LOWER_TX_58,122,41,0,1,41
LOWER_TX_59,123,102,0,1,102
LOWER_TX_60,124,102,0,1,102
LOWER_TX_61,125,41,0,1,41
LOWER_TX_62,126,180,0,1,180
LOWER_TX_63,127,15,0,1,15
